52
-1.000000e+000 2.000000e+000
-9.411765e-001 1.236952e+000
-8.823529e-001 5.002968e-001
-8.235294e-001 -2.087357e-001
-7.647059e-001 -8.891470e-001
-7.058824e-001 -1.540165e+000
-6.470588e-001 -2.161232e+000
-5.882353e-001 -2.751993e+000
-5.294118e-001 -3.312278e+000
-4.705882e-001 -3.842080e+000
-4.117647e-001 -4.341539e+000
-3.529412e-001 -4.810913e+000
-2.941176e-001 -5.250560e+000
-2.352941e-001 -5.660914e+000
-1.764706e-001 -6.042459e+000
-1.176471e-001 -6.395709e+000
-5.882353e-002 -6.721190e+000
-1.387779e-017 -7.019410e+000
5.882353e-002 -7.290851e+000
1.176471e-001 -7.535945e+000
1.764706e-001 -7.755057e+000
2.352941e-001 -7.948471e+000
2.941176e-001 -8.116378e+000
3.529412e-001 -8.258855e+000
4.117647e-001 -8.375859e+000
4.705882e-001 -8.467209e+000
5.294118e-001 -8.532571e+000
5.882353e-001 -8.571452e+000
6.470588e-001 -8.583175e+000
7.058824e-001 -8.566872e+000
7.647059e-001 -8.521460e+000
8.235294e-001 -8.445629e+000
8.823529e-001 -8.337812e+000
9.411765e-001 -8.196168e+000
1.000000e+000 -8.018551e+000
1.058824e+000 -7.802482e+000
1.117647e+000 -7.545109e+000
1.176471e+000 -7.243172e+000
1.235294e+000 -6.892953e+000
1.294118e+000 -6.490227e+000
1.352941e+000 -6.030203e+000
1.411765e+000 -5.507457e+000
1.470588e+000 -4.915855e+000
1.529412e+000 -4.248472e+000
1.588235e+000 -3.497490e+000
1.647059e+000 -2.654097e+000
1.705882e+000 -1.708360e+000
1.764706e+000 -6.490919e-001
1.823529e+000 5.363024e-001
1.882353e+000 1.861994e+000
1.941176e+000 3.343922e+000
2.000000e+000 5.000000e+000
